"col0","col1"
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`CREATE ... HOOK')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`SELECT ... T NULL`","This is a potential data sink (argument to 'query')."
"`UPDATE ... d = $3`","This is a potential data sink (argument to 'query')."
"'SELECT ... id ASC'","This is a potential data sink (argument to 'query')."
"'SELECT ... ations'","This is a potential data sink (argument to 'query')."
"'INSERT ... 1, $2)'","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 1954d""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 6eeab""`","This is a potential data sink (argument to 'query')."
"`DROP T ... ption""`","This is a potential data sink (argument to 'query')."
"`DROP T ... nItem""`","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E text`","This is a potential data sink (argument to 'query')."
"`CREATE ... year')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... erval""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... emId"")`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ctId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nique""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nique""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... temId""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 41982""`","This is a potential data sink (argument to 'query')."
"`DROP T ... ement""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 41982""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 1954d""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 0897d""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 1954d""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... e1954""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ULT ''`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 8d20a""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E text`","This is a potential data sink (argument to 'query')."
"`CREATE ... paid')`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 62356""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 1954d""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ASCADE`","This is a potential data sink (argument to 'query')."
"`ALTER  ... erId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ceId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 62356""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... odCap""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... plete'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 4448e""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 88908""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 4448e""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tatus""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nique""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nique""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... emId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ntity""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 88908""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... umeric`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ceId"")`","This is a potential data sink (argument to 'query')."
"`CREATE ... _due')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arUrl""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 235a7""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 62356""`","This is a potential data sink (argument to 'query')."
"`DROP I ... space""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 0897d""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ntity""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 78526""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... erId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 299de""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... emId"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T true`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 235a7""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 299de""`","This is a potential data sink (argument to 'query')."
"`DROP T ... ""user""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 4448e""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 88908""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ation""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`DROP T ... space""`","This is a potential data sink (argument to 'query')."
"`CREATE ...      )`","This is a potential data sink (argument to 'query')."
"`\n      ... N\n    `","This is a potential data sink (argument to 'query')."
"`DROP T ... Token""`","This is a potential data sink (argument to 'query')."
"`\n      ... N\n    `","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... resAt""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... Token""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... df221""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... a9bd6""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 6e72b""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _fkey""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _fkey""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... df221""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... a9bd6""`","This is a potential data sink (argument to 'query')."
"`DROP T ... eFlag""`","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`ALTER  ... 88908""`","This is a potential data sink (argument to 'query')."
"`CREATE ... paid')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 88908""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`CREATE ... s NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`CREATE ... s NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`DROP I ... nique""`","This is a potential data sink (argument to 'query')."
"`DROP I ... nique""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E text`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... Token""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" uuid`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... TOKEN'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... "" text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 1daa2""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... f5d22""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 4448e""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ae71a""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`DROP T ... ePair""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 29136""`","This is a potential data sink (argument to 'query')."
"`DROP T ... tials""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 57772""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... value""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ""type""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... aceId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... Token""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`CREATE ... _VAR')`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'UTC'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... a9bd6""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... df221""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E ZONE`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tatus""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... R_VAR'`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  now()`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  NULL;`","This is a potential data sink (argument to 'query')."
"`CREATE ... paid')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... plete'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E ZONE`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ""type""`","This is a potential data sink (argument to 'query')."
"`CREATE ... TIVE')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... Token""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... resAt""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... CTIVE'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  now()`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  NULL;`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tatus""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`CREATE ... TIVE')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E ZONE`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 88908""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ceId"")`","This is a potential data sink (argument to 'query')."
"`CREATE ... HOUR')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 88908""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... c48b0""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 791f8""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... cated""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ... value""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... nique""`","This is a potential data sink (argument to 'query')."
"`CREATE ... FIED')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... value""`","This is a potential data sink (argument to 'query')."
"`CREATE ... RING')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tedAt""`","This is a potential data sink (argument to 'query')."
"`CREATE ... ERED')`","This is a potential data sink (argument to 'query')."
"`CREATE ... LUME')`","This is a potential data sink (argument to 'query')."
"`CREATE ... NSED')`","This is a potential data sink (argument to 'query')."
"`CREATE ... year')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ESTAMP`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tedAt""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  now()`","This is a potential data sink (argument to 'query')."
"`CREATE ... ""id""))`","This is a potential data sink (argument to 'query')."
"`ALTER  ... arying`","This is a potential data sink (argument to 'query')."
"`ALTER  ... edAt"")`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EMAIL""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T '{}'`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  false`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  'USD'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... tedAt""`","This is a potential data sink (argument to 'query')."
"`\n      ...       `","This is a potential data sink (argument to 'query')."
"`ALTER  ...  now()`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  now()`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  now()`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T '{}'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E ZONE`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E ZONE`","This is a potential data sink (argument to 'query')."
"`DROP T ... views""`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ...  jsonb`","This is a potential data sink (argument to 'query')."
"`ALTER  ... r NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T true`","This is a potential data sink (argument to 'query')."
"`UPDATE ... = ""id""`","This is a potential data sink (argument to 'query')."
"`CREATE ... OICE')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... T NULL`","This is a potential data sink (argument to 'query')."
"`ALTER  ... CALLY'`","This is a potential data sink (argument to 'query')."
"`CREATE ... omain)`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E ZONE`","This is a potential data sink (argument to 'query')."
"`ALTER  ... LT '1'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... abled""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ULT ''`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E ZONE`","This is a potential data sink (argument to 'query')."
"`ALTER  ... omain""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... E ZONE`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ULT ''`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ACTION`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 372e1""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 26fca""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... 0897d""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... chema""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... alEnd""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... seUrl""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... Start""`","This is a potential data sink (argument to 'query')."
"`CREATE ... TIVE')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... rsion""`","This is a potential data sink (argument to 'query')."
"`\n      ... ;\n    `","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`\n      ... ;\n    `","This is a potential data sink (argument to 'query')."
"'ALTER  ... T NULL'","This is a potential data sink (argument to 'query')."
"`ALTER  ...  NULL)`","This is a potential data sink (argument to 'query')."
"`\n      ... ;\n    `","This is a potential data sink (argument to 'query')."
"`\n      ... )\n    `","This is a potential data sink (argument to 'query')."
"`ALTER  ... TNULL)`","This is a potential data sink (argument to 'query')."
"`ALTER  ... CTIVE'`","This is a potential data sink (argument to 'query')."
"`ALTER  ... dedAt""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ethod""`","This is a potential data sink (argument to 'query')."
"`\n      ... )\n    `","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"'ALTER  ...  jsonb'","This is a potential data sink (argument to 'query')."
"`ALTER  ... tails""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... icTax""`","This is a potential data sink (argument to 'query')."
"'CREATE ... KEN\';'","This is a potential data sink (argument to 'query')."
"`ALTER  ... ledAt""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... celAt""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... adata""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... Start""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... odEnd""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... rency""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... odEnd""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... holds""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::text`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`ALTER  ... adata""`","This is a potential data sink (argument to 'query')."
"`\n      ... ;\n    `","This is a potential data sink (argument to 'query')."
"`ALTER  ... ionId""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... ::text`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`\n      ... ;\n    `","This is a potential data sink (argument to 'query')."
"`DROP I ... space;`","This is a potential data sink (argument to 'query')."
"`\n      ... ;\n    `","This is a potential data sink (argument to 'query')."
"'DELETE ... S NULL'","This is a potential data sink (argument to 'query')."
"`DROP T ... Price""`","This is a potential data sink (argument to 'query')."
"`CREATE ... TIVE')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... EFAULT`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
"`CREATE ... TIVE')`","This is a potential data sink (argument to 'query')."
"`ALTER  ... _enum""`","This is a potential data sink (argument to 'query')."
"`ALTER  ... CTIVE'`","This is a potential data sink (argument to 'query')."
"'ALTER  ... ation""'","This is a potential data sink (argument to 'query')."
"`DROP T ... _enum""`","This is a potential data sink (argument to 'query')."
